startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-137964.92,-129850.06,0,-138202.86,-129964.67,0,327.4614,316.31018,83.26727,86.296295
-137732.3,-129723.836,0,-137964.92,-129850.06,0,337.47742,327.4614,79.57685,83.26727
-137502.23,-129591.98,0,-137732.3,-129723.836,0,346.27573,337.47742,75.426506,79.57685
-137268.31,-129468.586,0,-137502.23,-129591.98,0,353.90485,346.27573,71.96659,75.426506
-137024.19,-129367.49,0,-137268.31,-129468.586,0,360.54807,353.90485,70.681114,71.96659
-136767.83,-129293.24,0,-137024.19,-129367.49,0,366.42853,360.54807,72.45326,70.681114
-136503.23,-129237,0,-136767.83,-129293.24,0,371.7754,366.42853,77.083855,72.45326
-136239.05,-129179.87,0,-136503.23,-129237,0,376.89252,371.7754,83.305435,77.083855
-135984.28,-129102.13,0,-136239.05,-129179.87,0,382.19727,376.89252,89.4082,83.305435
-135862.89,-129788.14,0,-135964.11,-129892.39,0,628.6981,631.0425,123.325554,124.31545
-135757.4,-129687.95,0,-135862.89,-129788.14,0,626.33844,628.6981,122.32617,123.325554
-135647,-129592.45,0,-135757.4,-129687.95,0,624.04816,626.33844,121.23667,122.32617
-135535.33,-129498.164,0,-135647,-129592.45,0,622.0198,624.04816,119.91727,121.23667
-135428.5,-129399.28,0,-135535.33,-129498.164,0,620.48145,622.0198,118.41117,119.91727
-135331.61,-129290.9,0,-135428.5,-129399.28,0,619.59753,620.48145,117.021706,118.41117
-134304.56,-131987.81,0,-134293.58,-132239.56,0,325.61093,316.31018,108.99204,104.22825
-134331.98,-131736.34,0,-134304.56,-131987.81,0,335.09186,325.61093,113.29805,108.99204
-134367.8,-131485,0,-134331.98,-131736.34,0,344.45526,335.09186,116.11993,113.29805
-134392.25,-131233.47,0,-134367.8,-131485,0,353.3364,344.45526,116.05995,116.11993
-134385.62,-130981.44,0,-134392.25,-131233.47,0,361.46527,353.3364,112.319695,116.05995
-134341.02,-130728.78,0,-134385.62,-130981.44,0,368.8567,361.46527,105.20139,112.319695
-134270.38,-130475.69,0,-134341.02,-130728.78,0,375.7993,368.8567,96.04569,105.20139
-134199.97,-130222.61,0,-134270.38,-130475.69,0,382.63602,375.7993,86.6468,96.04569
-134157.77,-129969.99,0,-134199.97,-130222.61,0,389.55536,382.63602,78.405304,86.6468
-134159.39,-129718.086,0,-134157.77,-129969.99,0,396.6037,389.55536,72.06864,78.405304
-134200.73,-129466.84,0,-134159.39,-129718.086,0,403.80267,396.6037,68.26057,72.06864
-134261.19,-129215.91,0,-134200.73,-129466.84,0,411.18857,403.80267,67.58209,68.26057
-135245.6,-129172.14,0,-135331.61,-129290.9,0,619.39813,619.59753,116.11497,117.021706
-135166.19,-129047.07,0,-135245.6,-129172.14,0,619.7794,619.39813,115.79319,116.11497
-134315.58,-128964.87,0,-134261.19,-129215.91,0,418.7893,411.18857,70.159874,67.58209
-135743.81,-128993.055,0,-135984.28,-129102.13,0,388.14084,382.19727,94.27846,89.4082
-135516.12,-128856.02,0,-135743.81,-128993.055,0,395.06622,388.14084,97.62233,94.27846
-135294.39,-128705.914,0,-135516.12,-128856.02,0,403.1013,395.06622,99.46755,97.62233
-135070.45,-128560.64,0,-135294.39,-128705.914,0,412.14267,403.1013,99.55657,99.46755
-135085.88,-128922.91,0,-135166.19,-129047.07,0,620.5695,619.7794,115.815414,115.79319
-134997.44,-128806.46,0,-135085.88,-128922.91,0,621.614,620.5695,115.717636,115.815414
-134839.17,-128431.47,0,-135070.45,-128560.64,0,421.94232,412.14267,97.859184,99.55657
-134897.69,-128700.805,0,-134997.44,-128806.46,0,622.8402,621.614,115.14154,115.717636
-134788.62,-128604.04,0,-134897.69,-128700.805,0,624.2636,622.8402,114.110916,115.14154
-134675.95,-128510.7,0,-134788.62,-128604.04,0,625.9472,624.2636,113.05032,114.110916
-134600.75,-128317.91,0,-134839.17,-128431.47,0,432.24048,421.94232,95.08799,97.859184
-134565.69,-128415.086,0,-134675.95,-128510.7,0,627.9356,625.9472,112.52346,113.05032
-134460.77,-128314.35,0,-134565.69,-128415.086,0,630.20026,627.9356,112.85453,112.52346
-134357.77,-128461.7,0,-134347.7,-128713.484,0,434.66077,426.61783,83.35338,75.61729
-134347.7,-128713.484,0,-134315.58,-128964.87,0,426.61783,418.7893,75.61729,70.159874
-134359.84,-128209.82,0,-134357.77,-128461.7,0,442.83426,434.66077,92.667625,83.35338
-134359.84,-128209.82,0,-134600.75,-128317.91,0,442.83426,432.24048,92.667625,95.08799
-134359.84,-128209.82,0,-134460.77,-128314.35,0,632.62036,630.20026,113.93795,112.85453
-134270.81,-128102.98,0,-134359.84,-128209.82,0,635.0664,632.62036,115.86015,113.93795
-134192.36,-127988.9,0,-134270.81,-128102.98,0,637.5769,635.0664,118.555916,115.86015
-134117.98,-127869.35,0,-134192.36,-127988.9,0,640.0451,637.5769,121.4621,118.555916
-134048.5,-127744.71,0,-134117.98,-127869.35,0,642.39575,640.0451,124.27471,121.4621
-133991.8,-127614.03,0,-134048.5,-127744.71,0,644.61975,642.39575,126.9077,124.27471
-133957.72,-127476.02,0,-133991.8,-127614.03,0,646.76495,644.61975,129.44887,126.9077
-133951.78,-127330.17,0,-133957.72,-127476.02,0,648.856,646.76495,131.91765,129.44887
