x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-10240,-79872,2209.5347,1,1,0,0,0.3604348,-216.00002,4764.8022,2209.5347,2209.5347,0,0,0
-10208,-79872,2219.9482,1,1,0,0,0.37277013,-216.00002,4764.6953,2219.9482,2219.9482,0,0,0
-10176,-79872,2230.7366,1,1,0,0,0.38627598,-216.00002,4764.5796,2230.7366,2230.7366,0,0,0
-10144,-79872,2241.9775,1,1,0,0,0.4027062,-216.00002,4764.4546,2241.9775,2241.9775,0,0,0
-10112,-79872,2253.7454,1,1,0,0,0.42080498,-216.00002,4764.3203,2253.7454,2253.7454,0,0,0
-10080,-79872,2266.0818,1,1,0,0,0.4401351,-216.00002,4764.1772,2266.0818,2266.0818,0,0,0
-10048,-79872,2279.0232,1,1,0,0,0.46059653,-216.00002,4764.0254,2279.0232,2279.0232,0,0,0
-10016,-79872,2292.5627,1,1,0,0,0.47830755,-216.00002,4763.8647,2292.5627,2292.5627,0,0,0
-9984,-79872,2306.4546,1,1,0,0,0.4913662,-216.00002,4763.6953,2306.4546,2306.4546,0,0,0
-9952,-79872,2320.7725,1,1,0,0,0.5054503,-216.00002,4763.517,2320.7725,2320.7725,0,0,0
-9920,-79872,2335.4565,1,1,0,0,0.51719433,-216.00002,4763.33,2335.4565,2335.4565,0,0,0
-9888,-79872,2350.383,1,1,0,0,0.525965,-216.00002,4763.135,2350.383,2350.383,0,0,0
-9856,-79872,2365.383,1,1,0,0,0.5296521,-216.00002,4762.9307,2365.383,2365.383,0,0,0
-9824,-79872,2380.172,1,1,0,0,0.5260808,-216.00002,4762.7183,2380.172,2380.172,0,0,0
-9792,-79872,2394.3555,1,1,0,0,0.5273562,-216.00002,4762.497,2394.3555,2394.3555,0,0,0
-9760,-79872,2410.4106,1,1,0,0,0.5767092,-216.00002,4762.268,2410.4106,2410.4106,0,0,0
-9728,-79872,2428.1328,1,1,0,0,0.5976464,-216.00002,4762.0303,2428.1328,2428.1328,0,0,0
-9696,-79872,2445.6296,1,1,0,0,0.6037703,-216.00002,4761.7847,2445.6296,2445.6296,0,0,0
-9664,-79872,2463.1658,1,1,0,0,0.6192723,-216.00002,4761.531,2463.1658,2463.1658,0,0,0
-9632,-79872,2481.2537,1,1,0,0,0.6416031,-216.00002,4761.2686,2481.2537,2481.2537,0,0,0
-9600,-79872,2500.2126,1,1,0,0,0.6643181,-216.00002,4760.9985,2500.2126,2500.2126,0,0,0
-9568,-79872,2520.093,1,1,0,0,0.68582064,-216.00002,4760.72,2520.093,2520.093,0,0,0
-9536,-79872,2540.8708,1,1,0,0,0.7057744,-216.00002,4760.434,2540.8708,2540.8708,0,0,0
-9504,-79872,2562.4963,1,1,0,0,0.7259863,-216.00002,4760.1406,2562.4963,2562.4963,0,0,0
-9472,-79872,2584.967,1,1,0,0,0.7464504,-216.00002,4759.8384,2584.967,2584.967,0,0,0
-9440,-79872,2608.2864,1,1,0,0,0.7664156,-216.00002,4759.5293,2608.2864,2608.2864,0,0,0
-9408,-79872,2632.3926,1,1,0,0,0.85031873,-216.00002,4759.212,2632.3926,2632.3926,0,0,0
-9376,-79872,2662.3425,1,1,0,0,1.0000732,-216.00002,4758.887,2662.3425,2662.3425,0,0,0
-9344,-79872,2694.714,1,1,0,0,1.0651737,-216.00002,4758.5547,2694.714,2694.714,0,0,0
-9312,-79872,2728.7078,1,1,0,0,1.1270562,-216.00002,4758.215,2728.7078,2728.7078,0,0,0
-9280,-79872,2764.0042,1,1,0,0,1.1215069,-216.00002,4757.867,2764.0042,2764.0042,0,0,0
-9248,-79872,2795.3057,1,1,0,0,1.0544951,-216.00002,4757.5127,2795.3057,2795.3057,0,0,0
-9216,-79872,2827.018,1,1,0,0,1.086734,-216.00002,4757.1504,2827.018,2827.018,0,0,0
-9184,-79872,2859.7344,1,1,0,0,1.120583,-216.00002,4756.781,2859.7344,2859.7344,0,0,0
-9152,-79872,2893.4797,1,1,0,0,1.1553172,-216.00002,4756.4043,2893.4797,2893.4797,0,0,0
-9120,-79872,2928.4758,1,1,0,0,1.2016988,-216.00002,4756.0205,2928.4758,2928.4758,0,0,0
-9088,-79872,2965.1143,1,1,0,0,1.2565194,-216.00002,4755.63,2965.1143,2965.1143,0,0,0
-9056,-79872,3003.7942,1,1,0,0,1.3176572,-216.00002,4755.232,3003.7942,3003.7942,0,0,0
-9024,-79872,3041.7395,1,1,0,0,1.1245718,-216.00002,4754.827,3041.7395,3041.7395,0,0,0
-8992,-79872,3073.0732,1,1,0,0,1.006003,-216.00002,4754.415,3073.0732,3073.0732,0,0,0
-8960,-79872,3103.9358,1,1,0,0,0.96710235,-216.00002,4753.9966,3103.9358,3103.9358,0,0,0
-8928,-79872,3134.7021,1,1,0,0,0.99333555,-216.00002,4753.571,3134.7021,3134.7021,0,0,0
-8896,-79872,3169.0586,1,1,0,0,1.1601223,-216.00002,4753.1387,3169.0586,3169.0586,0,0,0
-8864,-79872,3208.0112,1,1,0,0,1.2658751,-216.00002,4752.6997,3208.0112,3208.0112,0,0,0
-8832,-79872,3249.8064,1,1,0,0,1.343411,-216.00002,4752.2544,3249.8064,3249.8064,0,0,0
-8800,-79872,3293.905,1,1,0,0,1.4102535,-216.00002,4751.8022,3293.905,3293.905,0,0,0
-8768,-79872,3339.742,1,1,0,0,1.4447,-216.00002,4751.3438,3339.742,3339.742,0,0,0
-8736,-79872,3386.3135,1,1,0,0,1.4667807,-216.00002,4750.879,3386.3135,3386.3135,0,0,0
-8704,-79872,3433.5625,1,1,0,0,1.4894341,-216.00002,4750.407,3433.5625,3433.5625,0,0,0
-8672,-79872,3481.5164,1,1,0,0,1.5134658,-216.00002,4749.9297,3481.5164,3481.5164,0,0,0
-8640,-79872,3530.1946,1,1,0,0,1.5136429,-216.00002,4749.446,3530.1946,3530.1946,0,0,0
-8608,-79872,3576.6213,1,1,0,0,1.378431,-216.00002,4748.9556,3576.6213,3576.6213,0,0,0
-8576,-79872,3618.1287,1,1,0,0,1.219304,-216.00002,4748.459,3618.1287,3618.1287,0,0,0
-8544,-79872,3654.4773,1,1,0,0,1.0530429,-216.00002,4747.9565,3654.4773,3654.4773,0,0,0
-8512,-79872,3685.454,1,1,0,0,0.88183117,-216.00002,4747.448,3685.454,3685.454,0,0,0
-8480,-79872,3710.846,1,1,0,0,0.705099,-216.00002,4746.934,3710.846,3710.846,0,0,0
-8448,-79872,3730.3723,1,1,0,0,0.52195716,-216.00002,4746.4136,3730.3723,3730.3723,0,0,0
-8416,-79872,3743.404,1,1,0,0,0.32144633,-216.00002,4745.8877,3743.404,3743.404,0,0,0
-8384,-79872,3742.7183,1,1,0,0,0.5960378,-216.00002,4745.3555,3742.7183,3742.7183,0,0,0
-8352,-79872,3716.1902,1,1,0,0,0.96554214,-216.00002,4744.818,3716.1902,3716.1902,0,0,0
-8320,-79872,3702.563,1,1,0,0,0.6789498,-216.00002,4744.275,3702.563,3702.563,0,0,0
-8288,-79872,3686.315,1,1,0,0,0.8766854,-216.00002,4743.7256,3686.315,3686.315,0,0,0
-8256,-79872,3666.6753,1,1,0,0,1.02148,-216.00002,4743.1714,3666.6753,3666.6753,0,0,0
-8224,-79872,3637.632,1,1,0,0,1.121007,-216.00002,4742.6113,3637.632,3637.632,0,0,0
-8192,-79872,3607.3762,1,1,0,0,1.0209937,-216.00002,4742.046,3607.3762,3607.3762,0,0,0
-8160,-79872,3581.017,1,1,0,0,0.9041071,-216.00002,4741.475,3581.017,3581.017,0,0,0
-8128,-79872,3557.394,1,1,0,0,0.83287585,-216.00002,4740.8994,3557.394,3557.394,0,0,0
-8096,-79872,3535.277,1,1,0,0,0.7967166,-216.00002,4740.318,3535.277,3535.277,0,0,0
-8064,-79872,3513.824,1,1,0,0,0.72844696,-216.00002,4739.7314,3513.824,3513.824,0,0,0
-8032,-79872,3492.5408,1,1,0,0,0.60894865,-216.00002,4739.14,3492.5408,3492.5408,0,0,0
-8000,-79872,3480.7002,1,1,0,0,0.56718296,-216.00002,4738.5435,3480.7002,3480.7002,0,0,0
-7968,-79872,3472.209,1,1,0,0,0.8618262,-216.00002,4737.9414,3472.209,3472.209,0,0,0
